symbol,open_time,entry_price,qty,sl,tp,rr,close_time,close_price,pnl,outcome
NIFTY,2025-10-09 15:00:00,25177.45,51,25139.0,25329.147321428572,3.91336747877439,2025-10-10 13:30:00,25329.147321428572,7736.563392857159,TP
NIFTY,2025-11-10 09:30:00,25553.2,35,25496.75,25750.45535714286,3.5304528061224767,2025-11-11 09:30:00,25496.75,-1975.7500000000255,SL
TCS,2025-09-19 15:00:00,3167.1,238,3158.8,3186.6660714285713,2.317389455782418,2025-09-22 09:15:00,3158.8,-1975.399999999935,SL
INFY,2025-09-11 15:15:00,1537.7,512,1508.0,1523.0714285714287,2.8644688644687992,2025-09-12 09:15:00,1523.0714285714287,-7489.828571428545,TP
BHARATFORG,2025-09-04 10:45:00,1140.6,363,1135.0,1160.1839285714286,3.5788961038961133,2025-09-04 13:15:00,1135.0,-2032.799999999967,SL
BHARATFORG,2025-10-15 13:15:00,1238.0,204,1229.0,1259.8035714285713,2.143221574344028,2025-10-16 09:30:00,1259.8035714285713,4447.928571428552,TP
63MOONS,2025-08-18 15:15:00,1015.0,160,991.4,1032.6446428571428,2.2995714285714257,2025-08-19 15:15:00,991.4,-3776.0000000000036,SL
63MOONS,2025-10-29 10:15:00,806.0,289,800.1,821.0660714285715,2.0385610766045703,2025-10-30 09:15:00,800.1,-1705.0999999999935,SL
63MOONS,2025-09-16 12:15:00,938.95,454,934.6,950.0392857142857,2.5089285714285836,2025-09-16 13:00:00,934.6,-1974.9000000000103,SL
63MOONS,2025-09-19 10:15:00,937.2,322,931.0,950.2651785714286,2.1072868663594253,2025-09-19 11:00:00,931.0,-1996.4000000000146,SL
WELSPUNLIV,2025-10-30 15:00:00,132.44,4000,131.9,134.48982142857145,4.1796428571428805,2025-10-31 09:15:00,131.9,-2159.999999999968,SL
WELSPUNLIV,2025-10-31 09:15:00,132.5,3333,131.9,134.52017857142857,3.366964285714321,2025-10-31 15:00:00,131.9,-1999.799999999981,SL
WELSPUNLIV,2025-09-01 15:00:00,111.4,5128,111.11,113.60732142857142,5.40338827838826,2025-09-01 15:15:00,111.11,-1487.1200000000322,SL
WELSPUNLIV,2025-10-16 09:45:00,126.84,1612,125.5,129.78107142857144,2.4524769585253665,2025-10-17 09:15:00,125.5,-2160.0800000000054,SL
WELSPUNLIV,2025-10-30 15:00:00,132.44,4000,131.9,134.48982142857145,4.1796428571428805,2025-10-31 09:15:00,131.9,-2159.999999999968,SL
WELSPUNLIV,2025-10-31 09:30:00,132.99,3389,132.4,134.54267857142858,2.6316585956416327,2025-10-31 10:15:00,132.4,-1999.5100000000116,SL
GRSE,2025-09-10 11:45:00,2416.2,120,2399.6,2476.5482142857145,3.6354345955250005,2025-09-10 14:15:00,2399.6,-1991.999999999989,SL
M_M,2025-09-17 09:30:00,3621.8,153,3609.0,3698.6535714285715,5.896428571428574,2025-09-17 09:45:00,3609.0,-1958.4000000000278,SL
M_M,2025-10-07 15:15:00,3497.7,200,3487.0,3528.6535714285715,3.1653571428571468,2025-10-08 09:15:00,3487.0,-2139.9999999999636,SL
M_M,2025-09-17 09:45:00,3618.1,109,3600.0,3698.755357142857,4.42611852433286,2025-09-19 09:15:00,3600.0,-1972.89999999999,SL
M_M,2025-09-30 13:30:00,3447.7,150,3434.7,3476.5178571428573,2.1441997851772143,2025-09-30 14:00:00,3434.7,-1950.0,SL
